teks;rating;tanggal;aplikasi;platform
@convomf Klo belom berani ke psikolog lgsg coba konsul ke psikolog online, halodoc misal.;;2025-01-18T00:18:55.000Z;Halodoc;Twitter
"K 24 &gt;&gt; Halodoc Cari K24 terdekat, pesen lewat wa, bayar qris, pesen gosend/grabexpress yg harga ongkirnya sangat murah 🫶🏼🫶🏼🫶🏼🫶🏼 terima kasih once again to @3OO5z yg sudah spill cara jitu hemat membeli obat ☺️  harga obatnya juga lebih murah dari halodoc xixi";;2025-01-05T05:32:39.000Z;Halodoc;Twitter
Uda seminggu lebih ga sembuh2, skrg nambah flu, barulah ke halodoc 😅;;2025-01-13T06:51:21.000Z;Halodoc;Twitter
DF Tanya. Ingfokan kode halodoc yg masih valid dong. Sender udh muak sama jerawat ga sembuh². Paling oke dokter siapa ya? https://t.co/7O1P7COwSx;;2025-01-02T05:42:55.000Z;Halodoc;Twitter
ada kode halodoc buat spkk ngga hari ini;;2025-01-30T01:44:23.000Z;Halodoc;Twitter
Ngga enak bgt sakit di luar negri. Ngga ada halodoc. 😷😷😷;;2025-01-12T10:23:26.000Z;Halodoc;Twitter
{Mu} rencana aku mau konsul tentang kondisi mukaku di halodoc karena cape banget coba2 ga ada yang cocok. Kalian ada yang punya rekomendasi dokter yang enak buat konsul ga? https://t.co/AhUX864dxy;;2025-01-06T09:59:19.000Z;Halodoc;Twitter
df adakah info kapan voc halodoc yg motong gede 😔;;2025-01-24T15:48:49.000Z;Halodoc;Twitter
Mau halodek atau halodoc?  Untung game, jadi ga usah milih HAHAHAHA AKU MAU ZAYNE SAMA CALEB HIHIHIHIHIHIHI;;2025-01-15T03:16:10.000Z;Halodoc;Twitter
@bonbonice_ emang yang bedain mereka berdua cuma profesinya kak halodoc vs halodec. silahkan pilih sesuai preference 🙏;;2025-01-16T12:23:36.000Z;Halodoc;Twitter
"{mu} ⚠️ TW CLOSED KOMEDO ⚠️ diresepin halodoc mediklin oren +  adapalane, udah sebulan tapi ngerasa nambah banyak. need help plis ;(  tia! 🙏 https://t.co/YdL8wTApvT";;2025-01-12T03:24:03.000Z;Halodoc;Twitter
Mau ngasih tau aja kl bisa berobat ke psikolog/psikiater tuh offline ya :) jgn cm halodoc/via telpon trs dah self diagnose. Gue pernah 2 kali konsul halodoc trs diagnosa sm obat yg dikasih ga nyambung (dikasih obat skizo pdhl gejala yg gue ceritain aja gada ke arah sana);;2025-01-15T07:06:45.000Z;Halodoc;Twitter
💚 Halo, mau tanya dong ada rekomendasi psikolog atau psikiater di halodoc gak yaa? tia titipan;;2025-01-03T07:20:11.000Z;Halodoc;Twitter
{mu} kondisi kulitku kaya gini, banyak jerawat kecil yang ada matanya. Udah konsul spkk di halodoc katanya suruh pakai mediklin sama cream aza, tapi aku masih takut sama efek sampingnya karena itu obat keras. Kalau pakai skincare aja mendingan pakai apa ya? Btw basic skincare ku https://t.co/Mi6vEQq7Sk;;2025-01-16T01:32:40.000Z;Halodoc;Twitter
💚 TOLONG KASIH TAU DOKTER DI APP HALODOC ATAU ALODOC YANG BAGUS DAN HELPFUL BUAT NGOBATIN MUKA BREAKOUT JERAWATAN BANYAK SEMUKA DONG PLISSSS😭😭😭 AKU UDAH CAPEK BANGET COBA2 SKINKER YANG KATANYA BUAT CALMING DAN SKIN BARRIER TAPI TETEP GAMEMPAN DAN ANCUR MUKA AKU😭😭 https://t.co/94yrvWHhNb;;2025-01-25T03:30:17.000Z;Halodoc;Twitter
@voumeyszo sungkar ayudia lu pada pacaran ngomong jorok mulu pas action malah kek orang tolol😭😭😭😭 jgn lupa beli morning after pill besok di halodoc ye biar gak tekdung;;2025-01-01T15:15:40.000Z;Halodoc;Twitter
HALODEC                 VS                HALODOC https://t.co/egM30RvReo;;2025-01-10T13:22:48.000Z;Halodoc;Twitter
Alhamdulillah, yesterday I got my best birthday gift from halodoc. Thanks a bunch for halodoc team for giving me chances to be HPV vaccinated. @HalodocID https://t.co/qKgQEtbMi3;;2025-01-01T13:04:39.000Z;Halodoc;Twitter
@tanyakanrl aku pernah ndeeeeer, aku konsul ke halodoc, ini rinciannya https://t.co/ydadtlf1Ot;;2025-01-23T08:10:25.000Z;Halodoc;Twitter
-rek butuh pendapat kalian dong. aku butuh ke psikolog dan aku punya 2 opsi (layanan psikolog kampus sama halodoc). menurut kalian mending yang mana ya? mungkin kalau ada yang pernah konsul psikolog di halodoc, ada rekom dokter ga? dan dia dibatasi waktu ga? makasih🙏;;2025-02-24T02:20:11.000Z;Halodoc;Twitter
Mau konsul aja antri 🙃 utilisasi Halodoc meningkat sepertinya… https://t.co/cRXBPyEtOL;;2025-02-16T14:05:45.000Z;Halodoc;Twitter
@hogwartown Kak, aku sembuh karena halodoc, jaga makan, sering-sering olahraga, jauhin makanan minyak, kalau udah dikasih salep sama dokter fokus ke lembab in aja, kalau bisa minum zinc plus deh bagus buat hormon;;2025-02-25T14:23:10.000Z;Halodoc;Twitter
@gojekindonesia Kak driver GoJek utk pengiriman Halodoc ga bisa dihubungi padahal pake instan uda mau 2 jam ga ada kabar gimana nih;;2025-02-23T04:56:02.000Z;Halodoc;Twitter
@ephvhylum Aku pake parasol gel nder Direkomendasiin sama dokter spkk halodoc Facetology juga bagus, itu juga direkomendasiin dokternya Kebetulan aku lagi jerawatan dan direkomendasiin itu;;2025-02-09T11:07:16.000Z;Halodoc;Twitter
@HyuvinnD_ @lionngrl Kak tapi ada baiknya Konsul karena ini emang biasa terjadi ke ibu muda, soalnya emang orang nyepelein kerjaan ibu rumah tangga. Kamu gak salah tapi juga gak bener. Bisa coba ke halodoc aja dulu kak. Aku gak bermaksud nyinggung ya tapi aku punya temen yang ngalamin juga.;;2025-02-15T16:08:23.000Z;Halodoc;Twitter
@hogwartown Saranku, langsung konsul halodoc aja kak. Sepanjang 2024 aku jerawatan trus bulan Desember memutuskan buat konsul. Ada banget efeknya per-Februari udh g jerawatan, tinggal ilangin bekasnya doang. Plus sekarang kulitku jd aluuusss bgtt dan banyak yg bilang  jd glowing juga😅 https://t.co/B4OxAx82LU;;2025-02-25T13:16:36.000Z;Halodoc;Twitter
kata aku mending kamu ke psikolog atau km bisa konsul di halodoc, jangan diterusin kasian;;2025-02-22T05:56:54.000Z;Halodoc;Twitter
Meh takon halodoc, mumet sing disebabke mergo raoleh tiket obat e opo yo? Paramex ora ngatasi soale 🙏🏿;;2025-02-15T03:08:09.000Z;Halodoc;Twitter
share pengalaman kalian pake salep dokter❗❗ aku baru co salep aza, reticor, niacef. abis konsul halodoc diresepin itu.. ada yang make juga gaa?? kira kira worth it gaa takut bgtttt😭 https://t.co/Mnbtlvrdzy;;2025-02-05T00:45:58.000Z;Halodoc;Twitter
muka lagi jerawatan dan bekas jerawat banyak mending treatment atau konsul halodoc ya {mu};;2025-02-25T09:46:20.000Z;Halodoc;Twitter
h+1 bertemu dengan para wanita ular HAHAHAHA (ga sempet ke klinik jadinya ke halodoc alias makin banyak gw liat2)🥹🥹🥹🥹🥹 https://t.co/Aa73WqpNwJ;;2025-02-03T03:18:20.000Z;Halodoc;Twitter
[Bb] kaliaj yg pake halodoc bisa jd bersih ga sender kulitnya super sensi sedih aja udh pake tp jrawat on off cuma emg belum nemu fw yg cocok tiap cumuk nambah trs :( pls yakinin sender bisa sembuh cuma modal di halodoc;;2025-02-08T12:39:47.000Z;Halodoc;Twitter
[bb] TW // Jerawat ada saran skincare apa yang oke ga guys apa mending konsul halodoc? kulit aku semenjak pindah ke jkt jadi gini dulunya mulus jarang jerawatan🥹 https://t.co/6S1niFfWEF;;2025-02-23T07:46:33.000Z;Halodoc;Twitter
Kak tolong minimal kamu sisihkan uangmu untuk ke aplikasi halodoc. Kalo keputihannya cairan biasa, normal. Tapi kalo sudah sampai berbentuk ampas tahu apalagi berbau dan gatal perlu obat resep dokter. Takutnya ada infeksi jamur. Kemarin aku juga begini dan langsung gercep, https://t.co/bIQsgGCYuz;;2025-02-18T15:32:40.000Z;Halodoc;Twitter
"Jangan biarkan kanker menghalangi harapan 💜 Di Hari Kanker Sedunia ini, yuk cari tahu lebih banyak tentang pencegahan &amp; dukungan kanker di Halodoc via aplikasi MyTelkomsel! #IniItuMakinGampang https://t.co/Deb2k8bZKt";;2025-02-04T01:22:08.000Z;Halodoc;Twitter
@rubinesee @assyvanab Setuju, waktu saya konsul ke dokter di halodoc jg saya bikin paraghraph. Urutan mulai sakit, keluhan², kondisi terkini, sampai kirimkan foto juga.   Kalo dokternya typing jgn spam chat. Tunggu dulu sampe dokternya nulis, baru bales lg. Gitu sih pengalaman saya pake halodoc;;2025-02-22T00:44:50.000Z;Halodoc;Twitter
kcg! Ada yg pernah konsul buat majikan di halodoc? Kalian biasanya sama dokter siapa? Tolong rekomen drh di halodoc;;2025-02-12T11:40:05.000Z;Halodoc;Twitter
